Date,Close,High,Low,Open,Volume
2022-05-31,152.47799682617188,153.247866930948,151.6806468435391,153.247866930948,253400
2022-06-01,154.6134490966797,155.68575173811325,153.48615872768613,155.5024546513562,194100
2022-06-02,156.02487182617188,156.14400724541858,154.12771124687762,155.03505073932337,148300
2022-06-03,151.04827880859375,152.248890903735,150.40673196210673,152.248890903735,261800
2022-06-06,151.7539825439453,153.4311782369893,151.51569771838916,153.31202883187524,157600
2022-06-07,152.3680419921875,152.52384522914662,150.92913106343798,151.04828047362486,192000
2022-06-08,151.54318237304688,152.7621142764928,151.2132420275064,152.5513233288248,179600
2022-06-09,150.7733154296875,153.0462440735165,150.7733154296875,152.16639847192602,126900
2022-06-10,147.8313751220703,149.35276767901007,147.82220117669527,148.93117174726945,241400
2022-06-13,142.51565551757812,144.5686191910267,142.1857151769287,144.44030983547808,339400
2022-06-14,142.2040557861328,143.1388751414952,141.26006248622448,142.51566223792028,265900
2022-06-15,143.6613006591797,144.28451362403743,141.42503957883523,142.13990809013578,211000
2022-06-16,141.56251525878906,143.61546513545628,140.70100351354242,143.3771803061066,461500
2022-06-17,141.09507751464844,141.54416724775075,139.66534071168866,141.27837459470237,397900
2022-06-21,145.80587768554688,146.30079516409657,144.18368391112452,144.18368391112452,319700
2022-06-22,145.8517303466797,146.63992047863928,143.82626029181256,143.82626029181256,166700
2022-06-23,144.36700439453125,145.3659854879427,143.23053998604115,144.6694509060973,176300
2022-06-24,145.79673767089844,145.79673767089844,144.1653697296579,144.69694110153108,178800
2022-06-27,143.45965576171875,144.75192332427193,143.2946925756932,144.52279846501094,208000
2022-06-28,143.9912109375,147.3914296202106,143.90872935375313,145.961678911915,225700
2022-06-29,142.67147827148438,143.36801287059714,142.25905628536927,143.34051900383432,108300
2022-06-30,141.29672241210938,141.7183183239532,139.67451442531225,140.82931271424368,147300
2022-07-01,142.48817443847656,142.5981499003363,140.05945642459338,140.1236041157875,178300
2022-07-05,141.7549591064453,141.7916269134955,139.8578126393901,140.36187611662743,208500
2022-07-06,140.06861877441406,140.78348725804216,139.4362318885879,140.78348725804216,223500
2022-07-07,144.0278778076172,144.0462117116677,142.07574355871344,142.15822514993377,241700
2022-07-08,143.67044067382812,144.19285204361321,143.15720324821746,143.35883423466035,159100
2022-07-11,142.2132110595703,143.54213240048304,142.08490170219952,143.52381248133798,159700
2022-07-12,142.4514923095703,143.38632559542967,141.62664845918724,141.74579785400707,179400
2022-07-13,142.46067810058594,142.9464216949324,141.058435047522,141.18674441235558,120400
2022-07-14,140.35272216796875,141.52584031973842,139.47287656180575,141.52584031973842,248600
2022-07-15,143.61544799804688,143.75293129388587,141.99324020290635,142.68978867194798,204300
