Date,Close,High,Low,Open,Volume,feature_sum,feature_mean
2021-01-08,40797.609375,41946.73828125,36838.63671875,39381.765625,88107519480,88107678444.75,29369226148.25
2021-01-09,40254.546875,41436.3515625,38980.875,40788.640625,61984162837,61984324297.41406,20661441432.471355
2021-01-10,38356.44140625,41420.19140625,35984.62890625,40254.21875,79980747690,79980903705.48047,26660301235.160156
2021-01-11,35566.65625,38346.53125,30549.599609375,38346.53125,123320567399,123320710208.31836,41106903402.77279
2021-01-12,33922.9609375,36568.52734375,32697.9765625,35516.359375,74773277909,74773416614.82422,24924472204.941406
2021-01-13,37316.359375,37599.9609375,32584.66796875,33915.12109375,69364315979,69364457395.10938,23121485798.369793
2021-01-14,39187.328125,39966.40625,36868.5625,37325.109375,63615990033,63616143380.40625,21205381126.802082
2021-01-15,36825.3671875,39577.7109375,34659.58984375,39156.70703125,67760757881,67760908100.375,22586969366.791668
2021-01-16,36178.140625,37864.3671875,35633.5546875,36821.6484375,57706187875,57706334372.71094,19235444790.903645
2021-01-17,35791.27734375,36722.3515625,34069.3203125,36163.6484375,52359854336,52359997082.59766,17453332360.865887
2021-01-18,36630.07421875,37299.28515625,34883.84375,35792.23828125,49511702429,49511847034.44141,16503949011.480469
2021-01-19,36069.8046875,37755.890625,36069.8046875,36642.234375,57244195486,57244342023.734375,19081447341.244793
2021-01-20,35547.75,36378.328125,33570.4765625,36050.11328125,66834573161,66834714707.66797,22278238235.889324
2021-01-21,30825.69921875,35552.6796875,30250.75,35549.3984375,75643067688,75643199866.52734,25214399955.509113
2021-01-22,33005.76171875,33811.8515625,28953.373046875,30817.625,77207272511,77207399099.61133,25735799699.87044
2021-01-23,32067.642578125,33360.9765625,31493.16015625,32985.7578125,48354737975,48354867882.53711,16118289294.179037
2021-01-24,32289.37890625,32944.0078125,31106.685546875,32064.376953125,48643830599,48643959003.44922,16214653001.14974
2021-01-25,32366.392578125,34802.7421875,32087.787109375,32285.798828125,59897054838,59897186380.7207,19965728793.573566
2021-01-26,32569.849609375,32794.55078125,31030.265625,32358.61328125,60255421470,60255550223.2793,20085183407.759766
2021-01-27,30432.546875,32564.029296875,29367.138671875,32564.029296875,62576762015,62576886942.74414,20858962314.248047
2021-01-28,33466.09765625,33858.3125,30023.20703125,30441.041015625,76517157706,76517285494.6582,25505761831.552734
2021-01-29,34316.38671875,38406.26171875,32064.814453125,34318.671875,117894572511,117894711617.13477,39298237205.711586
2021-01-30,34269.5234375,34834.70703125,32940.1875,34295.93359375,65141828798,65141965138.35156,21713988379.45052
2021-01-31,33114.359375,34288.33203125,32270.17578125,34270.87890625,52754542671,52754676614.74609,17584892204.915363
2021-02-01,33537.17578125,34638.21484375,32384.228515625,33114.578125,61400400660,61400534334.197266,20466844778.065754
2021-02-02,35510.2890625,35896.8828125,33489.21875,33533.19921875,63088585433,63088723862.58984,21029574620.86328
2021-02-03,37472.08984375,37480.1875,35443.984375,35510.8203125,61166818159,61166964066.08203,20388988022.027344
2021-02-04,36926.06640625,38592.17578125,36317.5,37475.10546875,68838074392,68838223702.84766,22946074567.615887
2021-02-05,38144.30859375,38225.90625,36658.76171875,36931.546875,58598066402,58598216362.52344,19532738787.507812
2021-02-06,39266.01171875,40846.546875,38138.38671875,38138.38671875,71326033653,71326190042.33203,23775396680.777344
2021-02-07,38903.44140625,39621.8359375,37446.15234375,39250.19140625,65500641143,65500796364.62109,21833598788.20703
2021-02-08,46196.46484375,46203.9296875,38076.32421875,38886.828125,101467222687,101467392050.54688,33822464016.848957
2021-02-09,46481.10546875,48003.72265625,45166.9609375,46184.9921875,91809846886,91810032722.78125,30603344240.927082
2021-02-10,44918.18359375,47145.56640625,43881.15234375,46469.76171875,87301089896,87301272310.66406,29100424103.554688
2021-02-11,47909.33203125,48463.46875,44187.76171875,44898.7109375,81388911810,81389097269.27344,27129699089.757812
2021-02-12,47504.8515625,48745.734375,46424.9765625,47877.03515625,76555041196,76555231748.59766,25518410582.865887
2021-02-13,47105.515625,48047.74609375,46392.28125,47491.203125,70250456155,70250645191.7461,23416881730.58203
2021-02-14,48717.2890625,49487.640625,47114.5078125,47114.5078125,71248675228,71248867661.94531,23749622553.98177
2021-02-15,47945.05859375,48875.5703125,46347.4765625,48696.53515625,77069903166,77070095030.64062,25690031676.880207
2021-02-16,49199.87109375,50341.1015625,47201.3046875,47944.45703125,77049582886,77049777572.73438,25683259190.911457
2021-02-17,52149.0078125,52533.9140625,49072.37890625,49207.27734375,80820545404,80820748366.57812,26940249455.526043
2021-02-18,51679.796875,52474.10546875,51015.765625,52140.97265625,52054723579,52054930889.640625,17351643629.880207
